AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,Total_Rainy_Days,Mean_Daily_Rain,Max_Daily_Rain,Mean_Intensity,Longest_Wet_Spell_days
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,89,8.297752808988765,44.25,2.0284589107374966,15
10002,Rangareddy,Rajendranagar,Sivaramapalle ,Circle-11 (Rajendranagar),17.327787,78.424413,91,10.233516483516484,82.5,2.7200425261551637,13
10006,Hyderabad,Shaikpet,Jubileehills,Circle-18 (Jubilee Hills),17.429389,78.404405,99,8.126262626262626,53.75,1.7806092336395367,16
10009,Rangareddy,Saroornagar,Viratnagar DMRL,Circle-5 (Saroornagar),17.336369,78.516645,101,8.96039603960396,78.5,2.2445978079950852,14
10012,Hyderabad,Musheerabad,Musheerabad (chilkalguda),Circle-15 (Musheerabad),17.424391,78.501,93,14.879032258064516,129.75,3.5640992072443685,15
10013,Medchal-Malkajgiri,Uppal,Bandlaguda,Circle-3 (Hayatnagar),17.365447,78.570947,86,13.005813953488373,96.75,2.830261477863222,7
10014,Rangareddy,Serilingampally,Madhapur,Circle-21 (Chanda Nagar),17.453137,78.374814,99,10.79040404040404,79.5,2.2350590942447,17
10308,Rangareddy,Serilingampally,Guchibowli ,Circle-21 (Chanda Nagar),17.470789,78.325971,109,12.204128440366972,111.0,2.6996093388008524,17
10534,Hyderabad,Bandlaguda,Kandikal Gate,Circle-8 (Chandrayangutta),17.331944,78.477997,99,12.722222222222221,109.0,2.9515523057189723,17
10535,Hyderabad,Ameerpet,Maitrivanam,Circle-17 (Khairatabad),17.436795,78.446085,93,13.879032258064516,103.25,3.3725327987424762,17
10544,Rangareddy,Hayathnagar,Hayathnagar,Circle-3 (Hayatnagar),17.33485,78.61254,87,12.330459770114942,115.0,2.9330913020568192,17
10924,Hyderabad,Saidabad,Asmanghad,Circle-6 (Malakpet),17.363917,78.515883,88,11.71875,85.5,2.4795562392153303,15
10932,Hyderabad,Tirumalagiri,Tirumalagiri,Circle-27(Alwal),17.471402,78.5027,82,7.658536585365853,51.25,2.095253797692822,15
